531518,VIKASPROP,Vikas Proppant & Granite Ltd,22-Jun-18,Stock  Split From Rs.10/- to Rs.1/-,25-Jun-18,-,-,18-Jun-18,22-Jun-18,-
532646,UNIPLY,UNIPLY INDUSTRIES LTD.,25-Jun-18,Stock  Split From Rs.10/- to Rs.2/-,26-Jun-18,-,-,19-Jun-18,25-Jun-18,-
512573,AVANTI,AVANTI FEEDS LTD.-$,26-Jun-18,Stock  Split From Rs.2/- to Rs.1/-,27-Jun-18,-,-,20-Jun-18,26-Jun-18,-
531344,CONCOR,CONTAINER CORPORATION OF INDIA LTD.,26-Jun-18,Stock  Split From Rs.10/- to Rs.5/-,27-Jun-18,-,-,20-Jun-18,26-Jun-18,-
526227,FILATEX,FILATEX INDIA LTD.-$,27-Jun-18,Stock  Split From Rs.10/- to Rs.2/-,28-Jun-18,-,-,21-Jun-18,27-Jun-18,-
523151,OTCO,OTCO INTERNATIONAL LTD.,10-Jul-18,Stock  Split From Rs.10/- to Rs.2/-,11-Jul-18,-,-,04-Jul-18,10-Jul-18,-
533265, GALLISPAT,GALLANTT ISPAT LTD.,07-Aug-18,Stock  Split From Rs.10/- to Rs.1/-,08-Aug-18,-,-,01-Aug-18,07-Aug-18,-
506414,FERMENTA,Fermenta Biotech Ltd,08-Aug-18,Stock  Split From Rs.10/- to Rs.5/-,09-Aug-18,-,-,02-Aug-18,08-Aug-18,-
500412,TIRUMALCHM,THIRUMALAI CHEMICALS LTD.,14-Aug-18,Stock  Split From Rs.10/- to Rs.1/-,17-Aug-18,-,-,09-Aug-18,14-Aug-18,-
504067,ZENSARTECH,ZENSAR TECHNOLOGIES LTD.,07-Sep-18,Stock  Split From Rs.10/- to Rs.2/-,10-Sep-18,-,-,03-Sep-18,07-Sep-18,-
539407,GENCON,Generic Engineering Construction and Projects Ltd,17-Sep-18,Stock  Split From Rs.10/- to Rs.5/-,18-Sep-18,-,-,10-Sep-18,17-Sep-18,-
536974,CPL,Captain Polyplast Ltd,19-Sep-18,Stock  Split From Rs.10/- to Rs.2/-,21-Sep-18,-,-,12-Sep-18,19-Sep-18,-
505283,KIRLPNU,KIRLOSKAR PNEUMATIC CO.LTD.,26-Sep-18,Stock  Split From Rs.10/- to Rs.2/-,27-Sep-18,-,-,19-Sep-18,26-Sep-18,-
522263,JMCPROJECT,JMC PROJECTS (INDIA) LTD.-$,04-Oct-18,Stock  Split From Rs.10/- to Rs.2/-,05-Oct-18,-,-,27-Sep-18,04-Oct-18,-
540750,IEX,Indian Energy Exchange Ltd,19-Oct-18,Stock  Split From Rs.10/- to Rs.1/-,22-Oct-18,-,-,12-Oct-18,19-Oct-18,-
521220,DAMOINDUS,DAMODAR INDUSTRIES LTD.-$,25-Oct-18,Stock  Split From Rs.10/- to Rs.5/-,26-Oct-18,-,-,19-Oct-18,25-Oct-18,-
